event_id,timestamp,source,host,user,src_ip,dst_ip,event_type,url,command_line,file_path,raw_message,ground_truth_stage,host_alias,user_alias,src_ip_alias,dst_ip_alias,url_path_template,query_param_names,command_line_sanitized,file_path_template,query_values_forwarded,raw_message_forwarded,preprocess_tags,text_features
E001,2026-05-20T09:01:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E002,2026-05-20T09:02:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E003,2026-05-20T09:03:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E004,2026-05-20T09:04:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E005,2026-05-20T09:05:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E006,2026-05-20T09:06:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E007,2026-05-20T09:07:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E008,2026-05-20T09:08:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E009,2026-05-20T09:09:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E010,2026-05-20T09:10:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E011,2026-05-20T09:11:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E012,2026-05-20T09:12:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E013,2026-05-20T09:13:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E014,2026-05-20T09:14:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E015,2026-05-20T09:15:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E016,2026-05-20T09:16:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E017,2026-05-20T09:17:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E018,2026-05-20T09:18:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E019,2026-05-20T09:19:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E020,2026-05-20T09:20:00,windows_event,HOST_001,USER_001,IP_001,,login_failed,,,,[SUPPRESSED_RAW_MESSAGE],Credential Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 53, ""language_hint"": ""en""}"
E021,2026-05-20T09:25:00,windows_event,HOST_001,USER_001,IP_001,,login_success,,,,[SUPPRESSED_RAW_MESSAGE],Initial Access,HOST_001,USER_001,IP_005,,,,,,False,False,raw_text_suppressed;week15_url_fixed;text_features_added,"{""contains_url"": false, ""url_count"": 0, ""has_urgent_words"": false, ""has_credential_terms"": true, ""has_instruction_like_words"": false, ""encoded_text_detected"": false, ""contains_secret_pattern"": false, ""text_length"": 49, ""language_hint"": ""en""}"
