event_id,timestamp,source,host,user,src_ip,dst_ip,event_type,url,command_line,file_path,raw_message,ground_truth_stage
E001,2026-05-20T09:01:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E002,2026-05-20T09:02:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E003,2026-05-20T09:03:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E004,2026-05-20T09:04:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E005,2026-05-20T09:05:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E006,2026-05-20T09:06:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E007,2026-05-20T09:07:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E008,2026-05-20T09:08:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E009,2026-05-20T09:09:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E010,2026-05-20T09:10:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E011,2026-05-20T09:11:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E012,2026-05-20T09:12:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E013,2026-05-20T09:13:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E014,2026-05-20T09:14:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E015,2026-05-20T09:15:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E016,2026-05-20T09:16:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E017,2026-05-20T09:17:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E018,2026-05-20T09:18:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E019,2026-05-20T09:19:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E020,2026-05-20T09:20:00,windows_event,WIN-01,alice,192.168.1.10,,login_failed,,,,Failed login attempt for user alice from 192.168.1.10,Credential Access
E021,2026-05-20T09:25:00,windows_event,WIN-01,alice,192.168.1.10,,login_success,,,,Successful login for user alice from 192.168.1.10,Initial Access
E022,2026-05-20T09:47:00,sysmon,WIN-01,alice,,,network_connection,,explorer.exe,,Normal user activity observed.,Benign
E023,2026-05-20T09:48:00,sysmon,WIN-01,alice,,,network_connection,,chrome.exe,,Normal user activity observed.,Benign
E024,2026-05-20T09:49:00,sysmon,WIN-01,alice,,,process_execution,,notepad.exe,C:\Temp\normal.log,Normal user activity observed.,Benign
E025,2026-05-20T09:50:00,sysmon,WIN-01,alice,,,process_execution,,explorer.exe,C:\Temp\normal.log,Normal user activity observed.,Benign
E026,2026-05-20T09:51:00,sysmon,WIN-01,alice,,,file_access,,explorer.exe,,Normal user activity observed.,Benign
E027,2026-05-20T09:52:00,sysmon,WIN-01,alice,,,process_execution,,notepad.exe,,Normal user activity observed.,Benign
E028,2026-05-20T09:53:00,sysmon,WIN-01,alice,,,network_connection,,explorer.exe,C:\Temp\normal.log,Normal user activity observed.,Benign
E029,2026-05-20T09:54:00,sysmon,WIN-01,alice,,,process_execution,,whoami,,Normal user activity observed.,Benign
E030,2026-05-20T09:55:00,sysmon,WIN-01,alice,,,file_access,,chrome.exe,,Normal user activity observed.,Benign
E031,2026-05-20T09:56:00,sysmon,WIN-01,alice,,,process_execution,,whoami,C:\Users\alice\Documents\note.txt,Normal user activity observed.,Benign
